region_code,weather_param,year, key, value
Wales,Tmin,1910,JAN,1.2
Wales,Tmin,1910,FEB,2.5
Wales,Tmin,1910,MAR,2.4
Wales,Tmin,1910,APR,3.2
Wales,Tmin,1910,MAY,6.4
Wales,Tmin,1910,JUN,9.7
Wales,Tmin,1910,JUL,9.8
Wales,Tmin,1910,AUG,10.8
Wales,Tmin,1910,SEP,8.2
Wales,Tmin,1910,OCT,7.2
Wales,Tmin,1910,NOV,1.2
Wales,Tmin,1910,DEC,3.7
Wales,Tmin,1910,WIN,N/A
Wales,Tmin,1910,SPR,3.98
Wales,Tmin,1910,SUM,10.12
Wales,Tmin,1910,AUT,5.55
Wales,Tmin,1910,ANN,5.54
Wales,Tmin,1911,JAN,1.4
Wales,Tmin,1911,FEB,1.7
Wales,Tmin,1911,MAR,1.8
Wales,Tmin,1911,APR,3.1
Wales,Tmin,1911,MAY,7.5
Wales,Tmin,1911,JUN,9.1
Wales,Tmin,1911,JUL,11.5
Wales,Tmin,1911,AUG,12.8
Wales,Tmin,1911,SEP,8.9
Wales,Tmin,1911,OCT,6.2
Wales,Tmin,1911,NOV,3.2
Wales,Tmin,1911,DEC,3.8
Wales,Tmin,1911,WIN,2.33
Wales,Tmin,1911,SPR,4.15
Wales,Tmin,1911,SUM,11.14
Wales,Tmin,1911,AUT,6.10
Wales,Tmin,1911,ANN,5.95
Wales,Tmin,1912,JAN,0.5
Wales,Tmin,1912,FEB,2.0
Wales,Tmin,1912,MAR,3.7
Wales,Tmin,1912,APR,3.6
Wales,Tmin,1912,MAY,6.7
Wales,Tmin,1912,JUN,8.6
Wales,Tmin,1912,JUL,11.0
Wales,Tmin,1912,AUG,8.5
Wales,Tmin,1912,SEP,6.9
Wales,Tmin,1912,OCT,3.9
Wales,Tmin,1912,NOV,3.7
Wales,Tmin,1912,DEC,3.8
Wales,Tmin,1912,WIN,2.09
Wales,Tmin,1912,SPR,4.69
Wales,Tmin,1912,SUM,9.40
Wales,Tmin,1912,AUT,4.82
Wales,Tmin,1912,ANN,5.27
Wales,Tmin,1913,JAN,1.8
Wales,Tmin,1913,FEB,1.2
Wales,Tmin,1913,MAR,2.2
Wales,Tmin,1913,APR,3.8
Wales,Tmin,1913,MAY,6.0
Wales,Tmin,1913,JUN,8.4
Wales,Tmin,1913,JUL,9.9
Wales,Tmin,1913,AUG,10.2
Wales,Tmin,1913,SEP,9.5
Wales,Tmin,1913,OCT,7.3
Wales,Tmin,1913,NOV,5.0
Wales,Tmin,1913,DEC,2.9
Wales,Tmin,1913,WIN,2.34
Wales,Tmin,1913,SPR,3.96
Wales,Tmin,1913,SUM,9.51
Wales,Tmin,1913,AUT,7.27
Wales,Tmin,1913,ANN,5.70
Wales,Tmin,1914,JAN,0.6
Wales,Tmin,1914,FEB,3.3
Wales,Tmin,1914,MAR,2.5
Wales,Tmin,1914,APR,4.4
Wales,Tmin,1914,MAY,5.6
Wales,Tmin,1914,JUN,8.7
Wales,Tmin,1914,JUL,10.6
Wales,Tmin,1914,AUG,11.0
Wales,Tmin,1914,SEP,8.4
Wales,Tmin,1914,OCT,6.5
Wales,Tmin,1914,NOV,3.1
Wales,Tmin,1914,DEC,1.5
Wales,Tmin,1914,WIN,2.23
Wales,Tmin,1914,SPR,4.18
Wales,Tmin,1914,SUM,10.15
Wales,Tmin,1914,AUT,6.01
Wales,Tmin,1914,ANN,5.54
Wales,Tmin,1915,JAN,1.6
Wales,Tmin,1915,FEB,0.6
Wales,Tmin,1915,MAR,1.0
Wales,Tmin,1915,APR,3.5
Wales,Tmin,1915,MAY,5.5
Wales,Tmin,1915,JUN,8.3
Wales,Tmin,1915,JUL,9.7
Wales,Tmin,1915,AUG,10.5
Wales,Tmin,1915,SEP,8.3
Wales,Tmin,1915,OCT,5.3
Wales,Tmin,1915,NOV,-0.8
Wales,Tmin,1915,DEC,2.5
Wales,Tmin,1915,WIN,1.26
Wales,Tmin,1915,SPR,3.35
Wales,Tmin,1915,SUM,9.49
Wales,Tmin,1915,AUT,4.25
Wales,Tmin,1915,ANN,4.70
Wales,Tmin,1916,JAN,4.9
Wales,Tmin,1916,FEB,0.9
Wales,Tmin,1916,MAR,0.1
Wales,Tmin,1916,APR,3.2
Wales,Tmin,1916,MAY,5.8
Wales,Tmin,1916,JUN,6.9
Wales,Tmin,1916,JUL,10.0
Wales,Tmin,1916,AUG,11.0
Wales,Tmin,1916,SEP,9.0
Wales,Tmin,1916,OCT,7.5
Wales,Tmin,1916,NOV,3.5
Wales,Tmin,1916,DEC,-0.8
Wales,Tmin,1916,WIN,2.81
Wales,Tmin,1916,SPR,3.03
Wales,Tmin,1916,SUM,9.33
Wales,Tmin,1916,AUT,6.69
Wales,Tmin,1916,ANN,5.19
Wales,Tmin,1917,JAN,-0.8
Wales,Tmin,1917,FEB,-2.5
Wales,Tmin,1917,MAR,-0.4
Wales,Tmin,1917,APR,1.1
Wales,Tmin,1917,MAY,6.6
Wales,Tmin,1917,JUN,8.7
Wales,Tmin,1917,JUL,10.5
Wales,Tmin,1917,AUG,11.0
Wales,Tmin,1917,SEP,9.7
Wales,Tmin,1917,OCT,3.9
Wales,Tmin,1917,NOV,5.2
Wales,Tmin,1917,DEC,-0.1
Wales,Tmin,1917,WIN,-1.32
Wales,Tmin,1917,SPR,2.42
Wales,Tmin,1917,SUM,10.08
Wales,Tmin,1917,AUT,6.27
Wales,Tmin,1917,ANN,4.45
Wales,Tmin,1918,JAN,1.4
Wales,Tmin,1918,FEB,4.2
Wales,Tmin,1918,MAR,1.7
Wales,Tmin,1918,APR,2.4
Wales,Tmin,1918,MAY,6.7
Wales,Tmin,1918,JUN,7.5
Wales,Tmin,1918,JUL,9.8
Wales,Tmin,1918,AUG,11.2
Wales,Tmin,1918,SEP,8.2
Wales,Tmin,1918,OCT,5.8
Wales,Tmin,1918,NOV,2.4
Wales,Tmin,1918,DEC,4.5
Wales,Tmin,1918,WIN,1.75
Wales,Tmin,1918,SPR,3.60
Wales,Tmin,1918,SUM,9.51
Wales,Tmin,1918,AUT,5.46
Wales,Tmin,1918,ANN,5.49
Wales,Tmin,1919,JAN,0.7
Wales,Tmin,1919,FEB,-1.1
Wales,Tmin,1919,MAR,-0.2
Wales,Tmin,1919,APR,2.4
Wales,Tmin,1919,MAY,7.4
Wales,Tmin,1919,JUN,8.4
Wales,Tmin,1919,JUL,9.1
Wales,Tmin,1919,AUG,10.4
Wales,Tmin,1919,SEP,8.0
Wales,Tmin,1919,OCT,3.9
Wales,Tmin,1919,NOV,0.1
Wales,Tmin,1919,DEC,2.8
Wales,Tmin,1919,WIN,1.48
Wales,Tmin,1919,SPR,3.19
Wales,Tmin,1919,SUM,9.31
Wales,Tmin,1919,AUT,3.99
Wales,Tmin,1919,ANN,4.36
Wales,Tmin,1920,JAN,2.0
Wales,Tmin,1920,FEB,2.8
Wales,Tmin,1920,MAR,2.8
Wales,Tmin,1920,APR,4.5
Wales,Tmin,1920,MAY,6.7
Wales,Tmin,1920,JUN,9.0
Wales,Tmin,1920,JUL,10.0
Wales,Tmin,1920,AUG,9.3
Wales,Tmin,1920,SEP,8.1
Wales,Tmin,1920,OCT,6.7
Wales,Tmin,1920,NOV,4.0
Wales,Tmin,1920,DEC,1.4
Wales,Tmin,1920,WIN,2.54
Wales,Tmin,1920,SPR,4.67
Wales,Tmin,1920,SUM,9.44
Wales,Tmin,1920,AUT,6.28
Wales,Tmin,1920,ANN,5.62
Wales,Tmin,1921,JAN,4.6
Wales,Tmin,1921,FEB,1.6
Wales,Tmin,1921,MAR,3.4
Wales,Tmin,1921,APR,2.9
Wales,Tmin,1921,MAY,5.4
Wales,Tmin,1921,JUN,8.4
Wales,Tmin,1921,JUL,11.7
Wales,Tmin,1921,AUG,10.5
